,FIPS,Countyname,ST_Name,Black,Med_HH_Inc,ICU_Capacity,State_Test,Hisp,Population_Density,AVG_VENTILATOR_USAGE,Asian,Poverty,Deaths,Confirmed,Over_65,Population,KMeans_Cluster,Hierarchical_cluster,DBSCAN_cluster,MeanShift_cluster
1457,28115,Pontotoc,Mississippi,0.17473127879155806,99.2857301302101,0.0,1726829,0.0775274077777381,1.4722154117259906e-05,0.0,0.0008927614898403743,0.18001642681141306,72,4163,0.16573224297396708,28003.0,2,0,2,4
1458,28117,Prentiss,Mississippi,0.10063567739372267,87.0788136909119,0.00019864918553833932,1726829,0.015097338100913788,1.5703899808750735e-05,2.0,0.022010329757648,0.15152959872864522,59,2750,0.17667858561779898,25170.0,1,0,0,0
1460,28121,Rankin,Mississippi,0.23454355385197104,146.394268095206,0.00022136242748791802,1726829,0.031146434952809558,4.607222930291203e-05,0.7142857142857143,0.013085802830685282,0.12252463318974785,275,13293,0.166816183394005,134879.0,1,0,4,3
1461,28123,Scott,Mississippi,0.3962897396179096,77.5115902486635,0.0,1726829,0.11790956701335105,1.2190665189034614e-05,0.0,0.002692336062550712,0.2022940178505569,72,3096,0.1555285092572103,27114.0,2,2,1,2
1462,28125,Sharkey,Mississippi,0.6338544682493727,65.2026352565382,0.0,1726829,0.0009650646593321752,3.2347441313331277e-06,0.0,0.0,0.2731132985910056,17,495,0.15460335842501444,5181.0,2,2,1,2
1463,28127,Simpson,Mississippi,0.3557987503160328,97.2693595971695,0.0,1726829,0.0024560262939285586,1.3001293695135394e-05,0.0,0.0053815870264022824,0.16816556506663774,84,2873,0.16664860764979955,27687.0,2,2,1,2
1464,28129,Smith,Mississippi,0.2330669710806697,95.6167786872518,0.0,1726829,0.017757483510908167,6.842890000102079e-06,0.0,0.0053906646372399785,0.1894977168949772,34,1582,0.19235159817351602,15768.0,2,2,1,2
1465,28131,Stone,Mississippi,0.21488618727366787,100.891728222533,0.0,1726829,0.023861872736678738,9.807438595915626e-06,2.0,0.0,0.2033109156751164,31,1778,0.1896663217796172,15464.0,2,2,1,2
1466,28133,Sunflower,Mississippi,0.6398570151921358,68.4057585235465,9.92950054612253e-05,1726829,0.015688610862873598,1.1413340809394388e-05,1.3333333333333333,0.0006619667030748354,0.2368516863601761,89,3292,0.11200476616026214,30213.0,2,2,1,2
1467,28135,Tallahatchie,Mississippi,0.5966029723991507,66.24520307890239,0.0,1726829,0.10544939844302903,5.167285807254164e-06,0.0,0.01556970983722576,0.3384446017142408,40,1751,0.16230242981835338,12717.0,2,2,1,2
1469,28139,Tippah,Mississippi,0.17583478093032234,87.0566313968191,0.0,1726829,0.05071414784790581,1.171428386572157e-05,1.0,0.003039953676896352,0.16888631538313068,68,2844,0.16642540050183366,20724.0,2,0,2,4
1470,28141,Tishomingo,Mississippi,0.02763000759960916,83.5851023712872,0.0,1726829,0.03343828031701227,1.077638842581779e-05,2.0,0.0002714146129627619,0.17598523504505484,67,2219,0.21658886114428402,18422.0,1,0,0,0
1472,28145,Union,Mississippi,0.16876748017317345,101.492868392449,0.00030650166660281216,1726829,0.047814259990038695,1.6379728057076033e-05,2.0,0.003907896249185854,0.14152714455384852,75,4030,0.17926516225431974,26101.0,2,0,2,4
1473,28147,Walthall,Mississippi,0.4401995536300381,68.67860074088861,0.0,1726829,0.007811474333727189,1.0623090540478104e-05,1.0,0.0009846396218983853,0.20106341079165024,43,1302,0.18156754627806224,15234.0,2,2,1,2
1474,28149,Warren,Mississippi,0.4843430402969024,100.07098334109699,0.0007802121333530144,1726829,0.020686164941062356,2.105160278544149e-05,3.5,0.007000822385762183,0.19011871876515613,118,4276,0.15751850367964912,47423.0,2,2,1,2
